timestamp,prediction_drift,median_trip_distance,num_drifted_columns,share_missing_values
2023-03-01 00:00:00,"0.07176197261671685",1.445322210729544,2,"0"
2023-03-02 00:00:00,"0.0789085369653855",1.3237274057098736,1,"0"
2023-03-03 00:00:00,"0.1305252961632405",1.265601697595038,2,"0"
2023-03-04 00:00:00,"0.16659204022125604",1.4703948447421764,3,"0"
2023-03-05 00:00:00,"0.19373445983275756",1.5162503424371503,3,"0"
2023-03-06 00:00:00,"0.04493129896183154",1.3630007372858963,1,"0"
2023-03-07 00:00:00,"0.042824689630486946",1.387713475923869,1,"0"
2023-03-08 00:00:00,"0.06058310710537317",1.3745142951883627,1,"0"
2023-03-09 00:00:00,"0.08626157135636577",1.320274238316551,1,"0"
2023-03-10 00:00:00,"0.13431786537116422",1.2418123006227992,2,"0"
2023-03-11 00:00:00,"0.10326656586170112",1.4254444718387018,3,"0"
2023-03-12 00:00:00,"0.07153600197812404",1.2919935675266254,1,"0"
2023-03-13 00:00:00,"0.15113130063589075",1.2784883865631738,2,"0"
2023-03-14 00:00:00,"0.019994422198629958",1.3698220104909955,1,"0"
2023-03-15 00:00:00,"0.06392820490777296",1.3916033234246186,1,"0"
2023-03-16 00:00:00,"0.040136126844814386",1.3726270654743031,1,"0"
2023-03-17 00:00:00,"0.07278226195338709",1.3141996670906795,1,"0"
2023-03-18 00:00:00,"0.07021547234484908",1.2350384836076316,1,"0"
2023-03-19 00:00:00,"0.08547136125123878",1.3974336016390816,1,"0"
2023-03-20 00:00:00,"0.02954308305624009",1.3722759799500146,1,"0"
2023-03-21 00:00:00,"0.03926146785529767",1.4302536580445022,1,"0"
2023-03-22 00:00:00,"0.03834748692626118",1.4072740533485333,1,"0"
2023-03-23 00:00:00,"0.047267746344550485",1.3681703845503013,1,"0"
2023-03-24 00:00:00,"0.03444431768502303",1.3696810133993456,1,"0"
2023-03-25 00:00:00,"0.03730594804467581",1.3401370784072841,1,"0"
2023-03-26 00:00:00,"0.1380344938977016",1.4013780175702815,2,"0"
2023-03-27 00:00:00,"0.036436049524072624",1.329612959769455,1,"0"
2023-03-28 00:00:00,"0.052906598193603285",1.400144094347075,1,"0"
2023-03-29 00:00:00,"0.05758054898228524",1.3718227923962676,1,"0"
2023-03-30 00:00:00,"0.021930144481722334",1.4246309602064422,1,"0"
